,Overall score,Entry standards,Student satisfaction,Research quality,Research intensity,Academic services spend,Facilities spend,Degree completion,Student -staff ratio,Graduate prospects – outcomes,Graduate prospects – on track,Amount
oxford,1000,200,,3.34,0.87,2842,599,99.1,10.1,90.4,84.7,273485094.83
cambridge,989,205,,3.33,0.95,2718,1043,99.1,11.4,90.0,86.0,228867323.13
school economics and political science,963,177,3.98,3.35,0.85,2051,853,96.5,12.4,90.6,83.3,39238434.1
st andrews,947,208,4.3,3.13,0.82,2650,746,95.7,11.1,79.9,79.6,13285087.82
imperial,895,194,3.99,3.36,0.92,2982,755,97.5,11.1,95.1,86.7,161129149.15
durham,889,184,4.02,3.14,0.79,2174,1085,96.8,13.5,85.3,82.3,57145017.46
loughborough,868,150,4.18,2.95,0.88,1853,1375,93.4,13.5,82.6,83.0,39692584.62
ucl,854,185,3.95,3.22,0.91,2338,325,94.3,10.1,85.3,83.4,265331671.45
warwick,842,162,4.05,3.22,0.83,1643,795,95.1,12.8,83.7,81.5,80114721.2
bath,840,168,4.06,3.17,0.74,1913,703,96.0,15.1,88.2,85.6,38183925.24
lancaster,821,144,4.04,3.15,0.77,2319,1066,93.2,13.0,78.2,78.7,51658840.63
edinburgh,801,186,3.86,3.18,0.83,1407,808,93.3,11.7,79.6,78.8,76547537.41
manchester,794,165,3.95,3.16,0.78,2542,692,93.0,13.1,81.3,82.6,177306881.57
exeter,794,157,4.03,3.08,0.82,1594,1191,94.4,15.5,80.2,80.5,70745945.84
southampton,784,152,4.03,3.15,0.9,1978,746,93.2,13.2,80.1,79.7,101295624.22999999
glasgow,771,199,4.04,3.1,0.84,1862,673,88.2,13.1,78.3,79.1,63620472.25
bristol,768,164,3.97,3.18,0.91,1645,673,95.3,13.4,82.2,80.5,123334517.77
york,762,149,4.06,3.17,0.75,1296,603,93.3,13.6,79.6,80.0,62717864.39
birmingham,754,152,3.92,3.07,0.81,2371,757,94.6,14.7,82.8,81.8,103425982.75999999
leeds,753,157,3.97,3.13,0.75,2498,406,93.4,13.7,80.0,79.7,108331271.36
king's,747,166,3.84,3.23,0.8,1984,673,91.3,11.7,85.2,85.5,130240000.97
east anglia uea,741,133,4.05,3.11,0.75,1789,1044,88.7,13.2,76.6,78.3,
heriot-watt,733,171,3.97,3.06,0.82,1795,1491,84.6,17.3,78.2,80.9,18464137.34
nottingham,727,147,3.94,3.09,0.79,1803,938,92.9,14.8,83.6,82.0,106098169.55
cardiff,725,144,3.94,3.27,0.62,1698,709,91.8,13.7,82.5,82.1,19943771.330000002
sheffield,723,150,4.05,3.17,0.74,1772,520,92.8,14.0,79.3,77.7,102050085.81
essex,722,117,4.05,3.05,0.82,1950,1469,86.8,15.5,71.0,75.0,25684457.1
dundee,721,179,4.1,3.03,0.68,1881,597,89.0,14.5,81.2,83.1,9099444.15
swansea,720,132,4.08,3.09,0.71,1558,687,89.4,14.8,79.6,78.9,18132249.77
strathclyde,715,198,4.02,3.04,0.84,1448,489,89.6,18.9,81.0,79.5,23759477.59
liverpool,715,140,4.03,3.06,0.7,2086,539,91.3,13.9,77.5,80.0,75280161.67
royal holloway,714,131,4.04,3.09,0.77,1875,834,91.2,15.1,70.6,74.9,4512647.47
harper adams,711,121,4.13,2.66,0.23,1891,1939,91.8,14.2,69.8,87.5,1735067.54
queen's  belfast,710,147,3.94,2.99,0.95,1558,820,90.9,14.6,82.6,80.7,18450041.94
surrey,709,138,3.95,2.98,0.73,1926,725,89.3,16.7,84.3,83.9,38880503.68
reading,696,124,3.96,3.03,0.83,1890,844,91.4,16.4,76.9,78.4,34000459.19
newcastle,695,144,3.96,3.09,0.8,1790,530,94.0,14.9,78.4,79.4,54365561.2
stirling,686,163,4.05,2.96,0.74,1079,847,83.9,15.8,70.9,76.0,8275910.459999999
aberdeen,686,182,4.06,2.97,0.73,1744,701,88.5,15.7,74.8,77.2,4234058.27
leicester,682,130,3.96,2.93,0.82,2014,779,90.5,13.8,74.0,75.5,46776936.75
sussex,671,137,3.91,3.01,0.73,1604,864,92.2,17.4,70.6,74.3,35816607.28
queen mary,671,146,3.86,3.18,0.74,1471,704,91.6,13.0,79.0,77.8,61984638.94
arts,660,137,3.92,3.12,0.17,2505,269,85.5,12.8,57.3,69.5,11410131.540000001
ulster,644,127,4.06,2.91,0.84,1664,700,87.0,18.9,74.5,78.1,4835653.95
nottingham trent,640,120,4.11,2.59,0.23,1410,921,88.4,15.3,67.5,76.1,9179115.49
lincoln,634,118,4.13,2.54,0.39,1292,781,88.0,15.7,69.8,78.3,9052312.04
aston  birmingham,633,124,3.99,3.05,0.57,1473,517,90.2,15.8,80.2,80.4,
soas,632,147,3.92,2.82,0.76,2546,417,83.5,12.8,64.3,69.2,10466692.67
northumbria  newcastle,631,138,4.0,2.71,0.29,1646,677,82.6,15.5,74.2,78.3,
kent,630,125,4.01,2.95,0.85,1211,716,88.2,16.7,69.3,73.5,25618455.59
oxford brookes,626,115,3.95,2.66,0.39,1524,868,90.7,14.2,76.2,80.8,11562574.09
coventry,621,115,4.08,2.67,0.13,1784,616,80.1,14.2,75.5,80.7,9272680.95
huddersfield,620,121,4.0,2.65,0.32,1805,683,83.5,13.7,69.8,76.3,12116020.53
city,613,132,3.84,2.95,0.53,1920,625,88.1,17.6,75.1,79.6,17657800.27
bristol  west england,612,123,4.17,2.7,0.29,1249,633,82.0,15.8,75.7,78.7,
manchester metropolitan,608,128,4.04,2.74,0.24,2011,762,85.5,16.0,64.1,71.7,11715794.959999999
arts  bournemouth,606,144,4.22,2.3,0.13,1424,347,88.4,14.3,57.1,73.9,428723.43
keele,605,123,4.05,2.88,0.59,1508,631,88.0,14.8,74.9,77.1,12977502.6
aberystwyth,605,118,4.29,2.84,0.76,1932,435,85.0,16.0,63.0,70.5,2449153.9
