Supplier,Amount
University of Oxford,273485094.83
University College London,265331671.45
University of Cambridge,228867323.13
The University of Manchester,177306881.57
King's College London,130240000.97
University of Bristol,123334517.77
Imperial College Science Tech & Med,108839233.75
University of Nottingham,106098169.55
University of Leeds,106038212.47
University of Birmingham,103425982.76
University of Sheffield,102050085.81
University of Southampton,101295624.23
University of Warwick,80114721.2
University of Edinburgh,76547537.41
University of Liverpool,75280161.67
University of Exeter,70745945.84
University of Glasgow,63620472.25
University of York,62717864.39
Queen Mary University of London,61984638.94
University of Durham,57145017.46
London School of Hygiene & Tropical Medicine,57077482.82
Newcastle University,54365561.2
Lancaster University,51658840.63
University of Leicester,46776936.75
Loughborough University,39692584.62
London School of Economics and Political Science,39238434.1
University of Surrey,38880503.68
University of Bath,38183925.24
ICSTM,35860117.46
University of Sussex,35816607.28
University of East Anglia,35041195.77
University of Reading,34000459.19
Institute of Cancer Research,30995761.279999997
Liverpool School of Tropical Medicine,29088202.89
Imperial College London,27290734.48
The Alan Turing Institute,26800818.34
University of Essex,25684457.1
University of Kent,25618455.59
Imperial College (Research Awards),24999180.92
Cranfield University,24950629.82
The Faraday Institution,24365003.63
University of Strathclyde,23759477.59
Brunel University London,21856680.71
Cardiff University,19943771.330000002
University of Plymouth,18810880.11
Open University,18577921.18
Heriot-Watt University,18464137.34
Queen's University Belfast,18450041.94
Swansea University,18132249.77
Royal Holloway & Bedford New C,17831141.51
JISC,17830074.35
"City, University of London",17657800.27
Culham Centre for Fusion Energy (CCFE),15344784.12
Aston University,15278561.17
University of the West of England,15041359.08
University of Portsmouth,14095233.34
Royal Veterinary College,13417532.15
Birkbeck College,13285929.95
University of St Andrews,13285087.82
Keele University,12977502.6
University of Huddersfield,12116020.53
"University of Wales, Cardiff - UWC",12108704.28
Manchester Metropolitan University,11715794.96
University of Hull,11650173.41
Northumbria University,11593091.28
Oxford Brookes University,11562574.09
John Innes Centre,11560621.85
University of the Arts London,11410131.540000001
London Business School,10973189.76
Liverpool John Moores University,10734072.23
"SOAS, University of London",10466692.67
University of Greenwich,10441864.04
University of London,10371749.16
The Rosalind Franklin Institute,10112491.75
University of Hertfordshire,10020905.86
University of Brighton,9928515.69
University of Newcastle upon Tyne,9813691.77
University of Salford,9303747.4
Coventry University,9272680.95
