,Overall score,Entry standards,Student satisfaction,Research quality,Research intensity,Academic services spend,Facilities spend,Degree completion,Student -staff ratio,Graduate prospects – outcomes,Graduate prospects – on track
University of Oxford,1000,200,,3.34,0.87,2842,599,99.1,10.1,90.4,84.7
University of Cambridge,989,205,,3.33,0.95,2718,1043,99.1,11.4,90.0,86.0
"London School of Economics and Political Science, University of London",963,177,3.98,3.35,0.85,2051,853,96.5,12.4,90.6,83.3
University of St Andrews,947,208,4.3,3.13,0.82,2650,746,95.7,11.1,79.9,79.6
Imperial College London,895,194,3.99,3.36,0.92,2982,755,97.5,11.1,95.1,86.7
Durham University,889,184,4.02,3.14,0.79,2174,1085,96.8,13.5,85.3,82.3
Loughborough University,868,150,4.18,2.95,0.88,1853,1375,93.4,13.5,82.6,83.0
UCL (University College London),854,185,3.95,3.22,0.91,2338,325,94.3,10.1,85.3,83.4
University of Warwick,842,162,4.05,3.22,0.83,1643,795,95.1,12.8,83.7,81.5
University of Bath,840,168,4.06,3.17,0.74,1913,703,96.0,15.1,88.2,85.6
Lancaster University,821,144,4.04,3.15,0.77,2319,1066,93.2,13.0,78.2,78.7
The University of Edinburgh,801,186,3.86,3.18,0.83,1407,808,93.3,11.7,79.6,78.8
University of Manchester,794,165,3.95,3.16,0.78,2542,692,93.0,13.1,81.3,82.6
University of Exeter,794,157,4.03,3.08,0.82,1594,1191,94.4,15.5,80.2,80.5
University of Southampton,784,152,4.03,3.15,0.9,1978,746,93.2,13.2,80.1,79.7
University of Glasgow,771,199,4.04,3.1,0.84,1862,673,88.2,13.1,78.3,79.1
University of Bristol,768,164,3.97,3.18,0.91,1645,673,95.3,13.4,82.2,80.5
University of York,762,149,4.06,3.17,0.75,1296,603,93.3,13.6,79.6,80.0
University of Birmingham,754,152,3.92,3.07,0.81,2371,757,94.6,14.7,82.8,81.8
University of Leeds,753,157,3.97,3.13,0.75,2498,406,93.4,13.7,80.0,79.7
"King's College London, University of London",747,166,3.84,3.23,0.8,1984,673,91.3,11.7,85.2,85.5
University of East Anglia UEA,741,133,4.05,3.11,0.75,1789,1044,88.7,13.2,76.6,78.3
Heriot-Watt University,733,171,3.97,3.06,0.82,1795,1491,84.6,17.3,78.2,80.9
University of Nottingham,727,147,3.94,3.09,0.79,1803,938,92.9,14.8,83.6,82.0
Cardiff University,725,144,3.94,3.27,0.62,1698,709,91.8,13.7,82.5,82.1
University of Sheffield,723,150,4.05,3.17,0.74,1772,520,92.8,14.0,79.3,77.7
University of Essex,722,117,4.05,3.05,0.82,1950,1469,86.8,15.5,71.0,75.0
